60
item,weight,value
phone,0.19,1000
Laptop,1.1,700
Pasta,9.473951242076138,286
Earrings,9.154413070329522,704
Shoes,0.9934494183252476,327
Belts,4.965504492910103,378
Necklaces,6.928355580395921,640
Rings,1.5109551338994294,1063
apples,4.761494804830768,999
Seafood,2.8090433724721864,806
Bread,14.687279483929247,929
Meat,19.459186043437846,155
Handbags,4.289234403482348,47
Shawls,15.950839662535671,942
Wallets,10.580714702859344,641
Jackets,18.964704381531355,340
Boots,7.053921894311585,1082
scarves,2.123020438625106,350
Socks,4.4314235972508405,1024
Hats,15.513868828090576,937
